TILE-NUMBER,RA,DEC
J-PAS_171,149.8255105559122,3.0554715944769955
J-PAS_172,149.9322201450583,1.912327243926299
J-PAS_173,150.7562094827829,2.534315945398357
J-PAS_174,149.89966410784433,2.374555557785526
J-PAS_175,150.24656588241126,3.175330063672049
J-PAS_176,150.98282543535723,1.9568544630352733
J-PAS_177,149.83258071003016,2.3569978386640384
J-PAS_178,150.9402558756245,3.1572586065855166
J-PAS_179,150.19459668468278,3.0117099762515727
J-PAS_180,149.96543075867032,2.943900899328992
J-PAS_181,150.7754320315098,2.161063957862916
J-PAS_182,150.68051998549183,2.039242622346092
J-PAS_183,151.02846081893787,2.7361005078942036
J-PAS_184,150.82909946132543,3.1011263847786203
J-PAS_185,150.92487330253877,2.5794680502195018
J-PAS_186,150.19484840159984,2.60025776525786
J-PAS_187,150.04841536129163,2.191970731124398
J-PAS_188,150.8508606522972,2.877290106468712
J-PAS_189,150.92956863497417,2.061861247980533
J-PAS_190,151.18670719880095,2.2531509309659414
J-PAS_191,150.377664747676,2.3956110140629834
J-PAS_192,150.3208253201099,2.510654530158237
J-PAS_193,150.8869781450388,2.139373625381112
J-PAS_194,150.27712495635424,1.960771554634885
J-PAS_195,151.10306025584498,2.654868059418286
J-PAS_196,151.0017778525802,2.2040827745363583
J-PAS_197,150.40059163832504,2.613733509991657
J-PAS_198,150.8512194949081,2.016107801383883
J-PAS_199,150.85636002371854,2.4735961425967448
J-PAS_200,149.94437341637033,2.5456252055722204
J-PAS_201,151.06357406935138,1.8725529515513977
J-PAS_202,150.507353321427,2.2712459894714887
J-PAS_203,150.95704045255084,1.988180547714564
J-PAS_204,150.24806944144285,1.8887249586618748
J-PAS_205,151.05373251989468,3.1859443253459236
J-PAS_206,150.34488235022783,2.2512953829646123
J-PAS_207,149.81517271207244,2.933824224196489
J-PAS_208,151.06753476698697,2.1564969166692696
J-PAS_209,149.9278013475006,2.754103811113501
J-PAS_210,150.24703909262658,2.8643190038455613
J-PAS_211,151.13008675387113,2.633894236850982
J-PAS_212,151.13085000571257,2.460206663970222
J-PAS_213,150.6028130433726,2.376577279806176
J-PAS_214,150.68457209703772,2.2884155731601936
J-PAS_215,150.42782373076966,3.1013408019469564
J-PAS_216,150.21049508037729,2.962867170902821
J-PAS_217,150.26013036351787,3.151037674933118
J-PAS_218,150.74152583850784,1.9740161128797626
J-PAS_219,150.85332434121275,2.823214465285102
J-PAS_220,150.90821066121617,3.1136766395494533
J-PAS_221,150.90546539991237,2.053726292631924
J-PAS_222,149.92768854426816,1.8930947743134885
J-PAS_223,150.49218842658362,2.837568909006083
J-PAS_224,149.8805822640233,2.604262358451877
J-PAS_225,150.56934043525322,2.978560287461581
J-PAS_226,150.41814270192273,1.9956813272768053
J-PAS_227,151.0427858558616,2.9133742366038464
J-PAS_228,150.2912810175729,2.0822782480668423
J-PAS_229,149.96389382299867,2.029118320011986
J-PAS_230,150.00018835487398,2.02997211710339
J-PAS_231,150.86611488440445,2.9404046083239352
J-PAS_232,150.66550528864278,2.73127610897468
J-PAS_233,149.94157174657192,2.5322915946767672
J-PAS_234,149.91774952856102,2.3023626777729036
J-PAS_235,150.78135678404277,3.0280807571383517
J-PAS_236,149.9018682089099,2.3494231503916896
J-PAS_237,150.95060408300648,2.943239215260208
J-PAS_238,150.7887391180191,2.4147888719983057
J-PAS_239,149.91388829289866,2.3277222011948706
J-PAS_240,149.91877279971928,2.447751699937449
J-PAS_241,151.18129540990162,2.221929023829799
J-PAS_242,150.32397911405857,2.8466531322467516
J-PAS_243,150.31889900589366,2.503808546129471
J-PAS_244,150.9379193941605,2.1250977732055443
J-PAS_245,151.1261480083374,3.059404402584396
J-PAS_246,151.18040148935202,2.337447709922496
J-PAS_247,150.85472945936252,2.560974005559584
J-PAS_248,150.3267634197433,3.069060955350366
J-PAS_249,149.91690100337814,2.673933194279589
J-PAS_250,150.8880056822984,1.9636572569917097
J-PAS_251,150.58176594963012,3.1157649730588655
J-PAS_252,150.39391081294576,2.6787912742999853
J-PAS_253,151.06889613913262,2.268867860519921
J-PAS_254,149.9556764752286,1.9949809017287423
J-PAS_255,150.48967514600722,2.9116352649784143
J-PAS_256,149.8158951026744,2.668101858299919
J-PAS_257,150.45612489879178,2.54684552876685
J-PAS_258,149.8788245859546,3.051449616271341
J-PAS_259,149.96634508277532,2.904036095714343
J-PAS_260,149.96453674548795,2.012344831625852
J-PAS_261,150.7088944229625,2.2364108949137678
J-PAS_262,150.8444628309716,2.1478847957402523
J-PAS_263,150.61671627113603,2.841524809601748
J-PAS_264,151.14704156786433,1.8469454086300912
J-PAS_265,150.3248188113332,2.5978455588198432
J-PAS_266,150.1999969207946,2.867442160036967
J-PAS_267,151.01603877946525,3.0274718914664493
J-PAS_268,150.11303417392725,2.2789144482022707
J-PAS_269,151.14851155521686,2.949760226540818
J-PAS_270,149.81701626456575,1.9548844317372902
J-PAS_271,151.15783035739068,2.9850332084283258
J-PAS_272,149.8604238767308,1.9784841272647755
J-PAS_273,151.0476003591773,2.356202206784514
J-PAS_274,150.53878155272082,2.916213512091375
J-PAS_275,151.190150714567,2.0098843982882832
J-PAS_276,149.90331519062957,2.120951953325698
J-PAS_277,150.57539599816184,2.811153595750293
J-PAS_278,151.15702354986672,2.8080511511645043
J-PAS_279,150.5323369818382,2.6976066860394163
J-PAS_280,150.68115809338937,2.7715278222539403
J-PAS_281,150.77404816457846,2.5598142206866346
J-PAS_282,150.43635749067488,2.1525186824697338
J-PAS_283,150.6785813121177,2.2839743909054873
J-PAS_284,150.61804003669235,2.054236803521996
J-PAS_285,151.06162121468736,3.0718307858670797
J-PAS_286,149.86362493247805,2.6167485126725687
J-PAS_287,150.19334846542912,2.3611919834690958
J-PAS_288,151.13057607770716,2.4468081251017857
J-PAS_289,151.04636929744728,3.1261966754565416
J-PAS_290,150.4379194539,2.0146919643625125
J-PAS_291,150.66818563692215,2.620721764823516
J-PAS_292,150.1883336561736,2.5082441504382524
J-PAS_293,150.06336962361328,2.656035929608507
J-PAS_294,150.44917776691597,1.8253542573491768
J-PAS_295,150.29469311923648,3.020973472521812
J-PAS_296,150.6171185565912,3.1049655954770574
J-PAS_297,149.908828491751,2.5911864570248926
J-PAS_298,151.1641527307326,2.775311153427649
J-PAS_299,151.18069504227142,3.091499133648214
